Dot,centerX,centerY
1,863,480
2,487,476
3,429,474
4,670,472
5,535,465
6,599,462
7,393,461
8,245,459
9,208,460
10,174,455
11,346,454
12,292,454
13,643,453
14,691,445
15,845,442
16,113,438
17,216,419
18,71,418
19,828,415
20,253,396
21,703,393
22,808,392
23,297,370
24,786,368
25,339,348
26,755,341
27,704,336
28,383,328
29,419,310
30,703,305
31,465,292
32,506,278
33,701,273
34,543,268
35,576,258
36,698,240
37,249,233
38,293,230
39,331,225
40,204,224
41,362,219
42,395,217
43,622,217
44,594,217
45,656,215
46,695,210
47,570,209
48,175,205
49,425,202
50,459,199
51,145,197
52,67,198
53,114,197
54,548,188
55,708,185
56,490,178
57,518,176
58,736,157
59,773,136
60,818,120
61,861,98
62,901,63
63,928,35
64,950,15
