id,stationName,centerX,centerY
1,BAITARANI RD,828,415
2,BYREE,703,393
3,KAPILAS RD,691,445
4,NERGUNDI,670,472
5,DHANMANDAL,704,336
6,DHENKANAL,704,336
7,DUBURI,543,268
8,NARANPUR,703,305
9,HARICHANDANPUR,703,305
10,HARIDASPUR,703,305
11,NEW GARHMADHUPUR,701,273
12,TOMKA,576,258
13,TOMKA 'B',576,258
14,JENAPUR,698,240
15,MACHAPUR,695,210
16,JAKHAPURA,695,210
17,JAJPUR KEONJHAR RD,736,157
18,DAITARI,543,268
19,KENDUAPADA,861,98
20,BHADRAK,928,35
21,RANDIA BAUDPUR,901,63
22,RANITAL J/C,950,15
